Analysis_ID,Sample_ID,raw_NO3,cor_NO3,Site,Year,Replicate,Treatment
362,Paul,0.54,0.54,MICR,2017,1,Experimental
363,Paul,0.95,0.95,MICR,2017,2,Experimental
364,Before,0.14,0.5,MICR,2017,1,Before
365,Before,0.61,0.61,MICR,2017,2,Before
367,Yoko,0.38,0.5,MICR,2017,1,Control
368,Yoko,0.50,0.5,MICR,2017,2,Control
370,Ringo,0.27,0.5,MICR,2017,1,Experimental
371,Ringo,0.52,0.52,MICR,2017,2,Experimental
373,John,1.06,1.06,MICR,2017,1,Experimental
374,John,0.47,0.5,MICR,2017,2,Experimental
376,George,0.58,0.58,MICR,2017,1,Experimental
377,George,0.37,0.5,MICR,2017,2,Experimental
379,Before,1.09,1.09,GOLB,2017,1,Before
380,Before,1.11,1.11,GOLB,2017,2,Before
399,John,0.29,0.5,GOLB,2017,1,Control
400,John,0.51,0.51,GOLB,2017,2,Control
402,Paul,0.48,0.5,GOLB,2017,1,Experimental
403,Paul,0.48,0.5,GOLB,2017,2,Experimental
405,George,0.54,0.54,GOLB,2017,1,Experimental
406,George,0.72,0.72,GOLB,2017,2,Experimental
408,Ringo,0.82,0.82,GOLB,2017,1,Experimental
409,Ringo,0.76,0.76,GOLB,2017,2,Experimental
411,Yoko,1.31,1.31,GOLB,2017,1,Experimental
412,Yoko,1.13,1.13,GOLB,2017,2,Experimental
420,Yoko,0.94,0.94,ABUR,2017,1,Control
421,Yoko,0.91,0.91,ABUR,2017,2,Control
423,John,0.53,0.53,ABUR,2017,1,Experimental
424,John,0.71,0.71,ABUR,2017,2,Experimental
426,George,0.51,0.51,ABUR,2017,1,Experimental
427,George,0.76,0.76,ABUR,2017,2,Experimental
429,Paul,0.79,0.79,ABUR,2017,1,Experimental
430,Paul,0.57,0.57,ABUR,2017,2,Experimental
432,Ringo,0.72,0.72,ABUR,2017,1,Experimental
433,Ringo,0.93,0.93,ABUR,2017,2,Experimental
435,Before,0.92,0.92,ABUR,2017,1,Before
436,Before,1.09,1.09,ABUR,2017,2,Before
545,Before,0.62,0.62,GOSL,2017,1,Before
546,Before,0.61,0.61,GOSL,2017,2,Before
548,John,0.48,0.5,GOSL,2017,1,Control
549,John,0.43,0.5,GOSL,2017,2,Control
551,Paul,0.74,0.74,GOSL,2017,1,Experimental
552,Paul,0.72,0.72,GOSL,2017,2,Experimental
554,George,0.42,0.5,GOSL,2017,1,Experimental
555,George,0.65,0.65,GOSL,2017,2,Experimental
557,Ringo,0.43,0.5,GOSL,2017,1,Experimental
558,Ringo,0.40,0.5,GOSL,2017,2,Experimental
560,Yoko,0.60,0.60,GOSL,2017,1,Experimental
561,Yoko,0.43,0.5,GOSL,2017,2,Experimental
2260,Before,0.21,0.21,MICR,2018,NA,Before
2263,Pink,0.32,0.32,MICR,2018,NA,Experimental
2266,Orange,0.28,0.28,MICR,2018,NA,Experimental
2268,Red,1.00,1.00,MICR,2018,NA,Experimental
2271,Yellow,0.79,0.79,MICR,2018,NA,Experimental
2274,Green,0.23,0.23,MICR,2018,NA,Control
2277,Blue,0.26,0.26,MICR,2018,NA,Control
2280,Purple,0.23,0.23,MICR,2018,NA,Control
2283,Black,0.24,0.24,MICR,2018,NA,Control
2286,Pink,0.25,0.25,ABUR,2018,NA,Experimental
2289,Red,0.41,0.41,ABUR,2018,NA,Experimental
2292,Orange,0.60,0.60,ABUR,2018,NA,Experimental
2295,Yellow,0.54,0.54,ABUR,2018,NA,Experimental
2298,Green,0.24,0.24,ABUR,2018,NA,Control
2301,Blue,0.23,0.23,ABUR,2018,NA,Control
2304,Purple,0.20,0.2,ABUR,2018,NA,Control
2307,Black,0.25,0.25,ABUR,2018,NA,Control
2310,Before,0.00,0.2,ABUR,2018,NA,Before
2313,Before,0.12,0.2,GOSL,2018,NA,Before
2316,Pink,0.29,0.29,GOSL,2018,NA,Experimental
2319,Red,0.28,0.28,GOSL,2018,NA,Experimental
2322,Orange,0.29,0.29,GOSL,2018,NA,Experimental
2325,Yellow,0.16,0.2,GOSL,2018,NA,Experimental
2328,Green,0.12,0.2,GOSL,2018,NA,Control
2331,Blue,0.16,0.2,GOSL,2018,NA,Control
2334,Purple,0.15,0.2,GOSL,2018,NA,Control
2337,Black,0.15,0.2,GOSL,2018,NA,Control
2340,Before,0.18,0.2,GOLB,2018,NA,Before
2343,Pink,0.23,0.23,GOLB,2018,NA,Experimental
2346,Red,0.29,0.29,GOLB,2018,NA,Experimental
2349,Orange,0.68,0.68,GOLB,2018,NA,Experimental
2352,Yellow,0.36,0.36,GOLB,2018,NA,Experimental
2355,Green,0.19,0.2,GOLB,2018,NA,Control
2358,Blue,0.20,0.2,GOLB,2018,NA,Control
2361,Purple,0.19,0.2,GOLB,2018,NA,Control
2364,Black,0.20,0.2,GOLB,2018,NA,Control
2544,Before,0.01,0.2,GOSL,2019,NA,Before
2547,Pink,0.51,0.51,GOSL,2019,NA,Experimental
2550,Red,0.50,0.50,GOSL,2019,NA,Experimental
2553,Orange,0.46,0.46,GOSL,2019,NA,Experimental
2556,Yellow,0.57,0.57,GOSL,2019,NA,Experimental
2559,Green,0.01,0.2,GOSL,2019,NA,Control
2562,Blue,0.01,0.2,GOSL,2019,NA,Control
2565,Purple,0.01,0.2,GOSL,2019,NA,Control
2568,Black,0.01,0.2,GOSL,2019,NA,Control
2571,White,0.40,0.40,GOSL,2019,NA,NA
2574,Light Blue,0.52,0.52,GOSL,2019,NA,NA
2577,Black/White,0.51,0.51,GOSL,2019,NA,NA
2580,Black/Light Blue,0.41,0.41,GOSL,2019,NA,NA
2583,Before,0.03,0.2,MICR,2019,NA,Before
2586,Pink,0.96,0.96,MICR,2019,NA,Experimental
2589,Orange,0.93,0.93,MICR,2019,NA,Experimental
2592,Yellow,0.17,0.2,MICR,2019,NA,Experimental
2595,Green,0.03,0.2,MICR,2019,NA,Control
2598,Blue,0.01,0.2,MICR,2019,NA,Control
2601,Purple,0.05,0.2,MICR,2019,NA,Control
2604,Black,0.02,0.2,MICR,2019,NA,Control
2610,Light Blue,0.52,0.52,MICR,2019,NA,NA
2613,Black/White,0.46,0.46,MICR,2019,NA,NA
2616,Before,1.26,1.26,ABUR,2019,NA,Before
2619,Pink,1.72,1.72,ABUR,2019,NA,Experimental
2622,Red,0.53,0.53,ABUR,2019,NA,Experimental
2625,Orange,0.53,0.53,ABUR,2019,NA,Experimental
2628,Yellow,0.78,0.78,ABUR,2019,NA,Experimental
2631,Green,1.37,1.37,ABUR,2019,NA,Control
2637,Purple,1.29,1.29,ABUR,2019,NA,Control
2640,Black,1.32,1.32,ABUR,2019,NA,Control
2643,White,0.36,0.36,ABUR,2019,NA,NA
2646,Light Blue,0.38,0.38,ABUR,2019,NA,NA
2655,Before,0.01,0.2,GOLB,2019,NA,Before
2658,Pink,1.65,1.65,GOLB,2019,NA,Experimental
2661,Red,0.13,0.2,GOLB,2019,NA,Experimental
2664,Yellow,0.30,0.30,GOLB,2019,NA,Experimental
2667,Green,0.03,0.2,GOLB,2019,NA,Control
2670,Blue,0.01,0.2,GOLB,2019,NA,Control
2673,Purple,0.01,0.2,GOLB,2019,NA,Control
2676,Black,0.02,0.2,GOLB,2019,NA,Control
2679,Light Blue,0.09,0.2,GOLB,2019,NA,NA
2682,Black/Light Blue,0.39,0.39,GOLB,2019,NA,NA