ID,Site,Depth,Replicate,Core,Date,OM,d15N,Nitrogen,d13C,Carbon,C_N,Lambda,Sigma8,Lignin_S,Lignin_V,Lignin_C,Lignin_P,Lignin_S_V,Lignin_C_V,Lignin_P_V_S,Lignin_Bd_V,Lignin_AcAd_s,Lignin_AcAd_v
300_249,MOHK,20,1,B,2017-03-14,1.37,4.22,0.04,-22.89,0.36,9,,,,,,,,,,,,
300_250,MOHK,20,2,B,2017-03-14,1.44,5.03,0.05,-22.49,0.4,8,,,,,,,,,,,,
300_251,MOHK,20,3,B,2017-03-14,1.9,4.59,0.05,-22.94,0.45,9,,,,,,,,,,,,
300_252,MOHK,20,4,B,2017-03-14,1.89,4.39,0.04,-22.53,0.36,9,,,,,,,,,,,,
300_253,MICR,10,1,T,2017-03-14,1.76,4.55,0.06,-23.61,0.65,10.83,,,,,,,,,,,,
300_254,MICR,10,2,T,2017-03-14,1.38,2.91,0.05,-23.76,0.47,9.4,,,,,,,,,,,,
300_255,MICR,10,3,T,2017-03-14,1.44,3.55,0.04,-24.27,0.36,9,,,,,,,,,,,,
300_256,MICR,10,4,T,2017-03-14,2.37,3.54,0.06,-24.39,0.72,12,,,,,,,,,,,,
300_257,MICR,10,1,B,2017-03-14,2.02,4.37,0.06,-23.54,0.72,12,,,,,,,,,,,,
300_258,MICR,10,2,B,2017-03-14,1.74,3.87,0.06,-23.51,0.68,11.33,,,,,,,,,,,,
300_259,MICR,10,3,B,2017-03-14,2.6,4.17,0.06,-23.51,0.74,12.33,,,,,,,,,,,,
300_260,MICR,10,4,B,2017-03-14,1.7,3.9,0.06,-23.51,0.6,10,,,,,,,,,,,,
300_261,MICR,20,1,T,2017-03-14,1.62,4.62,0.03,-22.84,0.3,10,,,,,,,,,,,,
300_262,MICR,20,2,T,2017-03-14,1.48,4.14,0.05,-22.47,0.32,6.4,,,,,,,,,,,,
300_263,MICR,20,3,T,2017-03-14,1.4,3.92,0.04,-22.39,0.27,6.75,,,,,,,,,,,,
300_264,MICR,20,4,T,2017-03-14,1.89,4.7,0.06,-22.51,0.43,7.17,,,,,,,,,,,,
300_265,MICR,20,1,B,2017-03-14,1.56,6.24,0.05,-22.14,0.48,9.6,,,,,,,,,,,,
300_266,MICR,20,2,B,2017-03-14,1.55,7.61,0.06,-21.38,0.5,8.33,,,,,,,,,,,,
300_267,MICR,20,3,B,2017-03-14,1.42,5.22,0.06,-22.59,0.56,9.33,,,,,,,,,,,,
300_268,MICR,20,4,B,2017-03-14,1.72,5.66,0.07,-22.17,0.61,8.71,,,,,,,,,,,,
300_269,GOLB,10,1,T,2017-03-14,0.66,2.19,0.03,-21.05,0.12,4,,,,,,,,,,,,
300_270,GOLB,10,2,T,2017-03-14,0.79,2.97,0.03,-22.36,0.18,6,,,,,,,,,,,,
300_271,GOLB,10,3,T,2017-03-14,0.68,1.88,0.03,-23.17,0.12,4,,,,,,,,,,,,
300_272,GOLB,10,4,T,2017-03-14,0.66,2.42,0.03,-22.44,0.13,4.33,,,,,,,,,,,,
300_273,GOLB,10,1,B,2017-03-14,0.54,2,0.02,-26.72,0.16,8,,,,,,,,,,,,
300_274,GOLB,10,2,B,2017-03-14,0.63,1.73,0.03,-23.13,0.12,4,,,,,,,,,,,,
300_275,GOLB,10,3,B,2017-03-14,1,2.6,0.03,-21.44,0.14,4.67,,,,,,,,,,,,
300_276,GOLB,10,4,B,2017-03-14,1.23,2.02,0.03,-23.39,0.16,5.33,,,,,,,,,,,,
300_277,GOLB,20,1,T,2017-03-14,1.41,3.86,0.04,-22.63,0.27,6.75,,,,,,,,,,,,
300_278,GOLB,20,2,T,2017-03-14,1.55,4.62,0.05,-23.03,0.35,7,,,,,,,,,,,,
300_279,GOLB,20,3,T,2017-03-14,1.34,3.95,0.04,-22.08,0.25,6.25,,,,,,,,,,,,
300_280,GOLB,20,4,T,2017-03-14,1.25,4.48,0.03,-22.6,0.26,8.67,,,,,,,,,,,,
300_281,GOLB,20,1,B,2017-03-14,1.26,3.88,0.04,-23.77,0.28,7,,,,,,,,,,,,
300_282,GOLB,20,2,B,2017-03-14,1.31,4.09,0.04,-22.76,0.29,7.25,,,,,,,,,,,,
300_283,GOLB,20,3,B,2017-03-14,1.14,3.82,0.04,-22.88,0.28,7,,,,,,,,,,,,
300_284,GOLB,20,4,B,2017-03-14,1.36,4.11,0.04,-22.58,0.28,7,,,,,,,,,,,,
300_285,ABUR,10,1,T,2017-03-14,1.36,-5.45,0.03,-18.31,0.17,5.67,,,,,,,,,,,,
300_286,ABUR,10,2,T,2017-03-14,1.26,1.26,0.03,-21.18,0.13,4.33,,,,,,,,,,,,
300_287,ABUR,10,3,T,2017-03-14,1.69,1.95,0.03,-22.76,0.17,5.67,,,,,,,,,,,,
300_288,ABUR,10,4,T,2017-03-14,1.22,1.95,0.03,-21.55,0.15,5,,,,,,,,,,,,
300_289,ABUR,10,1,B,2017-03-14,1.58,1.17,0.03,-22.81,0.14,4.67,,,,,,,,,,,,
300_290,ABUR,10,2,B,2017-03-14,1.7,1.62,0.03,-23.12,0.19,6.33,,,,,,,,,,,,
300_291,ABUR,10,3,B,2017-03-14,1.32,1.3,0.03,-22.79,0.17,5.67,,,,,,,,,,,,
300_292,ABUR,10,4,B,2017-03-14,2.54,1.6,0.03,-22.77,0.21,7,,,,,,,,,,,,
300_293,ABUR,20,1,T,2017-03-14,1.79,5.59,0.04,-23.46,0.36,9,,,,,,,,,,,,
300_294,ABUR,20,2,T,2017-03-14,1.85,3.93,0.04,-22.83,0.33,8.25,,,,,,,,,,,,
300_295,ABUR,20,3,T,2017-03-14,2.77,4.26,0.05,-23.3,0.52,10.4,,,,,,,,,,,,
300_296,ABUR,20,4,T,2017-03-14,1.16,4.07,0.04,-23.49,0.24,6,,,,,,,,,,,,
300_297,ABUR,20,1,B,2017-03-14,2.07,4.22,0.05,-23.4,0.49,9.8,,,,,,,,,,,,
300_298,ABUR,20,2,B,2017-03-14,1.55,3.83,0.05,-23.51,0.53,10.6,,,,,,,,,,,,
300_299,ABUR,20,3,B,2017-03-14,2.59,3.94,0.06,-23.59,0.61,10.17,,,,,,,,,,,,
300_300,ABUR,20,4,B,2017-03-14,2.23,4.17,0.05,-23.5,0.45,9,,,,,,,,,,,,
200_301,ABUR E,,1,T,2017-03-02,0.38,7.18,0.02,-22.71,0.07,3.5,,,,,,,,,,,,
200_302,ABUR E,,1,B,2017-03-02,4.39,6.4,0.13,-24.67,1.03,7.92,,,,,,,,,,,,
200_303,ABUR E,,2,T,2017-03-02,0.49,0.97,0.01,-21.97,0.07,7,,,,,,,,,,,,
200_304,ABUR E,,2,B,2017-03-02,0.47,1.15,0.01,-34.33,0.2,20,,,,,,,,,,,,
200_305,ABUR E,,3,T,2017-03-02,0.94,2.09,0.02,-24.21,0.16,8,,,,,,,,,,,,
200_306,ABUR E,,3,B,2017-03-02,0.78,1.54,0.03,-24.95,0.24,8,,,,,,,,,,,,
200_307,GOSL,,1,T,2017-03-08,0.74,2.41,0.02,-21.09,0.12,6,,,,,,,,,,,,
200_308,GOSL,,1,B,2017-03-08,0.5,1.53,0.01,-21.42,0.07,7,,,,,,,,,,,,
200_309,GOSL,,2,T,2017-03-08,1.36,3.48,0.03,-22.48,0.3,10,,,,,,,,,,,,
200_310,GOSL,,2,B,2017-03-08,1.99,4.72,0.06,-24.35,0.69,11.5,,,,,,,,,,,,
200_311,GOSL,,3,T,2017-03-08,4.49,5.69,0.16,-23.95,1.81,11.31,,,,,,,,,,,,
200_312,GOSL,,3,B,2017-03-08,3.65,4.07,0.13,-24.85,1.57,12.08,,,,,,,,,,,,
200_313,GOSL,,4,T,2017-03-08,4.63,4.02,0.16,-26.46,1.85,11.56,,,,,,,,,,,,
200_314,GOSL,,4,B,2017-03-08,3.2,3.75,0.11,-25.47,1.33,12.09,,,,,,,,,,,,
100_315,ATMY,,,,2017-01-20,9.04,2.22,0.22,-27.51,3.2,14.55,,,,,,,,,,,,
100_316,SPLV,,,,2017-01-20,5.38,3.87,0.16,-26.09,1.9,11.88,,,,,,,,,,,,
100_317,GATE,,,,2017-01-20,6.42,4.81,0.2,-26.22,2.21,11.05,,,,,,,,,,,,
100_318,AB00,,,,2017-01-20,5.23,4.14,0.18,-25.71,1.84,10.22,,,,,,,,,,,,
100_319,MC00,,,,2017-01-20,9.91,3.48,0.34,-27.65,4.38,12.88,,,,,,,,,,,,
100_320,BC02,,,,2017-01-22,4.44,4.07,0.12,-26.15,1.43,11.92,,,,,,,,,,,,
100_321,RG01,,,,2017-01-22,3.36,2.77,0.11,-26.49,1.03,9.36,,,,,,,,,,,,
100_322,GV01,,,,2017-01-22,3.69,3.69,0.14,-25.79,1.28,9.14,,,,,,,,,,,,
300_323,AHND,10,1,T,2017-06-05,1.27,,,,,,,,,,,,,,,,,
300_324,AHND,10,2,T,2017-06-05,1.13,,,,,,,,,,,,,,,,,
300_325,AHND,10,3,T,2017-06-05,1.4,,,,,,,,,,,,,,,,,
300_326,AHND,10,4,T,2017-06-05,0.95,,,,,,,,,,,,,,,,,
300_327,AHND,10,1,B,2017-06-05,1.6,,,,,,,,,,,,,,,,,
300_328,AHND,10,2,B,2017-06-05,1.22,,,,,,,,,,,,,,,,,
300_329,AHND,10,3,B,2017-06-05,1.76,,,,,,,,,,,,,,,,,
300_330,AHND,10,4,B,2017-06-05,1.01,,,,,,,,,,,,,,,,,
300_331,AHND,20,1,T,2017-06-05,1.27,,,,,,,,,,,,,,,,,
300_332,AHND,20,2,T,2017-06-05,1.22,,,,,,,,,,,,,,,,,
300_333,AHND,20,3,T,2017-06-05,1.39,,,,,,,,,,,,,,,,,
300_334,AHND,20,4,T,2017-06-05,1.44,,,,,,,,,,,,,,,,,
300_335,AHND,20,1,B,2017-06-05,1.39,,,,,,,,,,,,,,,,,
300_336,AHND,20,2,B,2017-06-05,1.34,,,,,,,,,,,,,,,,,
300_337,AHND,20,3,B,2017-06-05,1.08,,,,,,,,,,,,,,,,,
300_338,AHND,20,4,B,2017-06-05,1.26,,,,,,,,,,,,,,,,,
300_339,AQUE,10,1,T,2017-06-05,1.25,,,,,,,,,,,,,,,,,
300_340,AQUE,10,2,T,2017-06-05,1.32,,,,,,,,,,,,,,,,,
300_341,AQUE,10,3,T,2017-06-05,1.14,,,,,,,,,,,,,,,,,
300_342,AQUE,10,4,T,2017-06-05,1.01,,,,,,,,,,,,,,,,,
300_343,AQUE,10,1,B,2017-06-05,1.21,,,,,,,,,,,,,,,,,
300_344,AQUE,10,2,B,2017-06-05,1.45,,,,,,,,,,,,,,,,,
300_345,AQUE,10,3,B,2017-06-05,1.23,,,,,,,,,,,,,,,,,
300_346,AQUE,10,4,B,2017-06-05,1.58,,,,,,,,,,,,,,,,,
300_347,AQUE,20,1,T,2017-06-05,1.37,,,,,,,,,,,,,,,,,
300_348,AQUE,20,2,T,2017-06-05,1.38,,,,,,,,,,,,,,,,,
300_349,AQUE,20,3,T,2017-06-05,1.37,,,,,,,,,,,,,,,,,
300_350,AQUE,20,4,T,2017-06-05,1.23,,,,,,,,,,,,,,,,,
300_351,AQUE,20,1,B,2017-06-05,1.16,,,,,,,,,,,,,,,,,
300_352,AQUE,20,2,B,2017-06-05,0.9,,,,,,,,,,,,,,,,,
300_353,AQUE,20,3,B,2017-06-05,1.43,,,,,,,,,,,,,,,,,
300_354,AQUE,20,4,B,2017-06-05,1.19,,,,,,,,,,,,,,,,,
300_355,REFU,10,1,T,2017-06-05,1.61,,,,,,,,,,,,,,,,,
300_356,REFU,10,2,T,2017-06-05,1.13,,,,,,,,,,,,,,,,,
300_357,REFU,10,3,T,2017-06-05,1.78,,,,,,,,,,,,,,,,,
300_358,REFU,10,4,T,2017-06-05,1.15,,,,,,,,,,,,,,,,,
300_359,REFU,10,1,B,2017-06-05,0.86,,,,,,,,,,,,,,,,,
300_360,REFU,10,2,B,2017-06-05,1.21,,,,,,,,,,,,,,,,,
300_361,REFU,10,3,B,2017-06-05,0.77,,,,,,,,,,,,,,,,,
300_362,REFU,10,4,B,2017-06-05,0.77,,,,,,,,,,,,,,,,,
300_363,REFU,20,1,T,2017-06-05,2.38,,,,,,,,,,,,,,,,,
300_364,REFU,20,2,T,2017-06-05,1.81,,,,,,,,,,,,,,,,,
300_365,REFU,20,3,T,2017-06-05,1.51,,,,,,,,,,,,,,,,,
300_366,REFU,20,4,T,2017-06-05,1.49,,,,,,,,,,,,,,,,,
300_367,REFU,20,1,B,2017-06-05,1.43,,,,,,,,,,,,,,,,,
300_368,REFU,20,2,B,2017-06-05,3.2,,,,,,,,,,,,,,,,,
300_369,REFU,20,3,B,2017-06-05,2.04,,,,,,,,,,,,,,,,,
300_370,REFU,20,4,B,2017-06-05,1.31,,,,,,,,,,,,,,,,,
300_371,IVEE,20,1,T,2017-06-05,0.85,,,,,,,,,,,,,,,,,
300_372,IVEE,20,2,T,2017-06-05,0.97,,,,,,,,,,,,,,,,,
300_373,IVEE,20,3,T,2017-06-05,1.1,,,,,,,,,,,,,,,,,
300_374,IVEE,20,4,T,2017-06-05,1.03,,,,,,,,,,,,,,,,,
300_375,IVEE,20,1,B,2017-06-05,1.25,,,,,,,,,,,,,,,,,
300_376,IVEE,20,2,B,2017-06-05,1.06,,,,,,,,,,,,,,,,,
300_377,IVEE,20,3,B,2017-06-05,1.28,,,,,,,,,,,,,,,,,
300_378,IVEE,20,4,B,2017-06-05,1.23,,,,,,,,,,,,,,,,,
300_379,GOLB,10,1,T,2017-06-13,0.48,,,,,,,,,,,,,,,,,
300_380,GOLB,10,2,T,2017-06-13,0.59,,,,,,,,,,,,,,,,,
300_381,GOLB,10,3,T,2017-06-13,0.58,,,,,,,,,,,,,,,,,
300_382,GOLB,10,4,T,2017-06-13,0.7,,,,,,,,,,,,,,,,,
300_383,GOLB,10,1,B,2017-06-13,0.48,,,,,,,,,,,,,,,,,
300_384,GOLB,10,2,B,2017-06-13,0.54,,,,,,,,,,,,,,,,,
300_385,GOLB,10,3,B,2017-06-13,0.59,,,,,,,,,,,,,,,,,
300_386,GOLB,10,4,B,2017-06-13,0.53,,,,,,,,,,,,,,,,,
300_387,GOLB,20,1,T,2017-06-13,0.79,,,,,,,,,,,,,,,,,
300_388,GOLB,20,2,T,2017-06-13,0.99,,,,,,,,,,,,,,,,,
300_389,GOLB,20,3,T,2017-06-13,1.07,,,,,,,,,,,,,,,,,
300_390,GOLB,20,4,T,2017-06-13,0.88,,,,,,,,,,,,,,,,,
300_391,GOLB,20,1,B,2017-06-13,0.75,,,,,,,,,,,,,,,,,
300_392,GOLB,20,2,B,2017-06-13,0.89,,,,,,,,,,,,,,,,,
300_393,GOLB,20,3,B,2017-06-13,0.77,,,,,,,,,,,,,,,,,
300_394,GOLB,20,4,B,2017-06-13,0.79,,,,,,,,,,,,,,,,,
300_395,ABUR,10,1,T,2017-06-13,1,,,,,,,,,,,,,,,,,
300_396,ABUR,10,2,T,2017-06-13,1.01,,,,,,,,,,,,,,,,,
300_397,ABUR,10,3,T,2017-06-13,0.89,,,,,,,,,,,,,,,,,
300_398,ABUR,10,4,T,2017-06-13,0.56,,,,,,,,,,,,,,,,,
300_399,ABUR,10,1,B,2017-06-13,1.27,,,,,,,,,,,,,,,,,
300_400,ABUR,10,2,B,2017-06-13,2.51,,,,,,,,,,,,,,,,,
300_401,ABUR,10,3,B,2017-06-13,2.31,,,,,,,,,,,,,,,,,
300_402,ABUR,10,4,B,2017-06-13,1.27,,,,,,,,,,,,,,,,,
300_403,ABUR,20,1,T,2017-06-13,1.58,,,,,,,,,,,,,,,,,
300_404,ABUR,20,2,T,2017-06-13,1.27,,,,,,,,,,,,,,,,,
300_405,ABUR,20,3,T,2017-06-13,1.96,,,,,,,,,,,,,,,,,
300_406,ABUR,20,4,T,2017-06-13,1.26,,,,,,,,,,,,,,,,,
300_407,ABUR,20,1,B,2017-06-13,1.91,,,,,,,,,,,,,,,,,
300_408,ABUR,20,2,B,2017-06-13,2.8,,,,,,,,,,,,,,,,,
300_409,ABUR,20,3,B,2017-06-13,1.74,,,,,,,,,,,,,,,,,
300_410,ABUR,20,4,B,2017-06-13,1.87,,,,,,,,,,,,,,,,,
300_411,MOHK,10,1,T,2017-06-13,0.45,,,,,,,,,,,,,,,,,
300_412,MOHK,10,2,T,2017-06-13,0.42,,,,,,,,,,,,,,,,,
300_413,MOHK,10,3,T,2017-06-13,0.42,,,,,,,,,,,,,,,,,
300_414,MOHK,10,4,T,2017-06-13,0.47,,,,,,,,,,,,,,,,,
300_415,MOHK,10,1,B,2017-06-13,0.7,,,,,,,,,,,,,,,,,
300_416,MOHK,10,2,B,2017-06-13,0.54,,,,,,,,,,,,,,,,,
300_417,MOHK,10,3,B,2017-06-13,0.59,,,,,,,,,,,,,,,,,
300_418,MOHK,10,4,B,2017-06-13,0.57,,,,,,,,,,,,,,,,,
300_419,MOHK,20,1,T,2017-06-13,1.27,2.41,0.04,-23.38,0.56,13.29,,,,,,,,,,,,
300_420,MOHK,20,2,T,2017-06-13,0.86,2.54,0.03,-23.03,0.33,11.71,,,,,,,,,,,,
300_421,MOHK,20,3,T,2017-06-13,1.24,2.34,0.04,-22.77,0.45,11.45,,,,,,,,,,,,
300_422,MOHK,20,4,T,2017-06-13,1.4,2.94,0.04,-22.74,0.42,11.18,,,,,,,,,,,,
300_423,MOHK,20,1,B,2017-06-13,1.55,1,0.03,-23.31,0.46,13.19,,,,,,,,,,,,
300_424,MOHK,20,2,B,2017-06-13,1.45,1.25,0.04,-23.33,0.59,14.84,,,,,,,,,,,,
300_425,MOHK,20,3,B,2017-06-13,1.32,2.7,0.05,-23.38,0.68,15.18,,,,,,,,,,,,
300_426,MOHK,20,4,B,2017-06-13,1.53,3.82,0.04,-22.89,0.57,15.06,,,,,,,,,,,,
300_427,MICR,10,1,T,2017-06-13,0.94,,,,,,,,,,,,,,,,,
300_428,MICR,10,2,T,2017-06-13,0.55,,,,,,,,,,,,,,,,,
300_429,MICR,10,3,T,2017-06-13,0.6,,,,,,,,,,,,,,,,,
300_430,MICR,10,4,T,2017-06-13,0.62,,,,,,,,,,,,,,,,,
300_431,MICR,10,1,B,2017-06-13,1.5,,,,,,,,,,,,,,,,,
300_432,MICR,10,2,B,2017-06-13,0.51,,,,,,,,,,,,,,,,,
300_433,MICR,10,3,B,2017-06-13,1.09,,,,,,,,,,,,,,,,,
300_434,MICR,10,4,B,2017-06-13,0.9,,,,,,,,,,,,,,,,,
300_435,MICR,20,1,T,2017-06-13,1,2.26,0.03,-22.4,0.29,8.82,,,,,,,,,,,,
300_436,MICR,20,2,T,2017-06-13,0.84,1.66,0.03,-22.5,0.26,10.45,,,,,,,,,,,,
300_437,MICR,20,3,T,2017-06-13,0.99,1.48,0.04,-22.74,0.4,9.67,,,,,,,,,,,,
300_438,MICR,20,4,T,2017-06-13,0.7,,,,,,,,,,,,,,,,,
300_439,MICR,20,1,B,2017-06-13,1.31,2.33,0.05,-22.84,0.49,10.11,,,,,,,,,,,,
300_440,MICR,20,2,B,2017-06-13,1.86,4.72,0.07,-22.72,0.72,9.9,,,,,,,,,,,,
300_441,MICR,20,3,B,2017-06-13,1.24,3.24,0.04,-22.33,0.41,9.9,,,,,,,,,,,,
300_442,MICR,20,4,B,2017-06-13,1.44,3.35,0.05,-22.72,0.48,9.69,,,,,,,,,,,,
200_443,ABUR E,,1,T,2017-06-12,0.35,-2.2,0.01,-29.33,0.12,9.39,,,,,,,,,,,,
200_444,ABUR E,,1,B,2017-06-12,0.24,-2.91,0.01,-24.71,0.05,5.99,,,,,,,,,,,,
200_445,ABUR E,,2,T,2017-06-12,0.38,-2.2,0.01,-24.39,0.07,6.83,,,,,,,,,,,,
200_446,ABUR E,,2,B,2017-06-12,0.24,-0.11,0,-19.3,0.05,97.47,,,,,,,,,,,,
200_447,ABUR E,,3,T,2017-06-12,6.65,6.66,0.25,-25.39,3.52,13.88,,,,,,,,,,,,
200_448,ABUR E,,3,B,2017-06-12,3.28,2.37,0.09,-25.22,1.24,14.5,,,,,,,,,,,,
200_449,GOSL,,1,T,2017-06-08,0.39,-1.44,0.01,-21.71,0.07,8.37,,,,,,,,,,,,
200_450,GOSL,,1,B,2017-06-08,0.32,-2.58,0.01,-23.92,0.05,6.53,,,,,,,,,,,,
200_451,GOSL,,2,T,2017-06-08,1.13,-0.15,0.03,-22.09,0.29,10.17,,,,,,,,,,,,
200_452,GOSL,,2,B,2017-06-08,1.45,2.44,0.05,-24.29,0.58,11.64,,,,,,,,,,,,
200_453,GOSL,,3,T,2017-06-08,3.7,3.43,0.1,-24.76,1.16,11.96,,,,,,,,,,,,
200_454,GOSL,,3,B,2017-06-08,4.58,0.64,0.12,-24.4,1.63,13.82,,,,,,,,,,,,
200_455,GOSL,,4,T,2017-06-08,3.6,-4.48,0.09,-25.64,1.65,17.6,,,,,,,,,,,,
200_456,GOSL,,4,B,2017-06-08,2.64,2.09,0.09,-26.54,1.27,14.29,,,,,,,,,,,,
