Tin,ID,Date,Site,Year,Core ID,Tin,TinWetSed,TinDrySed
1,1,8-Feb,ABUR,2017,Ringo,1.1324,3.9891,3.1688
2,2,8-Feb,ABUR,2017,George,1.1365,5.8015,4.4317
3,3,8-Feb,MICR,2017,Ringo,1.2180,3.0620,2.4906
4,4,8-Feb,MICR,2017,Paul,1.2129,3.7553,3.0825
5,5,8-Feb,GOLB,2017,Ringo,1.2007,3.4892,2.8941
6,6,8-Feb,GOLB,2017,Paul,1.2150,4.4001,3.5294
7,7,8-Feb,GOSL,2017,Ringo,1.1972,3.5742,3.0015
8,8,8-Feb,GOSL,2017,George,1.2036,3.4972,2.9711
9,9,8-Feb,ABUR,2018,Pink,1.2093,3.6056,2.6251
10,10,8-Feb,ABUR,2018,Orange,1.2036,4.6227,3.3520
11,11,8-Feb,MICR,2018,Pink,1.2178,6.8770,5.2473
12,12,8-Feb,MICR,2018,Orange,1.2000,4.3111,3.3574
13,13,8-Feb,GOLB,2018,Pink,1.2100,3.7415,2.9092
14,14,8-Feb,GOLB,2018,Orange,1.2038,3.4773,2.7759
15,15,8-Feb,GOSL,2018,Pink,1.2111,5.4328,4.4253
16,16,8-Feb,GOSL,2018,Orange,1.2019,4.0793,3.3743
17,17,8-Feb,ABUR,2019,Pink,1.2068,4.3820,3.3237
18,18,8-Feb,ABUR,2019,Orange,1.1960,4.9854,3.6441
19,19,8-Feb,MICR,2019,Pink,1.2127,6.4423,5.0378
20,20,8-Feb,MICR,2019,Orange,1.1954,4.9860,3.9411
21,21,8-Feb,GOLB,2019,Pink,1.2071,4.9674,3.8952
22,22,8-Feb,GOLB,2019,Orange,1.1961,4.5732,3.5581
23,23,8-Feb,GOSL,2019,Pink,NA,NA,NA
24,24,8-Feb,GOSL,2019,Orange,NA,NA,NA