Year,Site,Treatment,Analyte,Change_uM_hr
2017,ABUR,Control,NH4,-0.01
2017,ABUR,Experimental,NH4,0.07
2017,ABUR,Experimental,NH4,-0.03
2017,ABUR,Experimental,NH4,-0.04
2017,ABUR,Experimental,NH4,0.77
2017,ABUR,Control,NO3,-0.03
2017,ABUR,Experimental,NO3,-0.12
2017,ABUR,Experimental,NO3,-0.13
2017,ABUR,Experimental,NO3,-0.11
2017,ABUR,Experimental,NO3,-0.06
2017,ABUR,Control,TDN,NA
2017,ABUR,Experimental,TDN,NA
2017,ABUR,Experimental,TDN,NA
2017,ABUR,Experimental,TDN,NA
2017,ABUR,Experimental,TDN,NA
2018,ABUR,Control,NH4,-0.01
2018,ABUR,Control,NH4,-0
2018,ABUR,Control,NH4,0.02
2018,ABUR,Control,NH4,-0.01
2018,ABUR,Experimental,NH4,-0.04
2018,ABUR,Experimental,NH4,0.48
2018,ABUR,Experimental,NH4,0.1
2018,ABUR,Experimental,NH4,-0.15
2018,ABUR,Control,NO3,0.02
2018,ABUR,Control,NO3,0.01
2018,ABUR,Control,NO3,0.01
2018,ABUR,Control,NO3,0
2018,ABUR,Experimental,NO3,0.13
2018,ABUR,Experimental,NO3,0.02
2018,ABUR,Experimental,NO3,0.07
2018,ABUR,Experimental,NO3,0.11
2018,ABUR,Control,TDN,0.12
2018,ABUR,Control,TDN,0.31
2018,ABUR,Control,TDN,0.13
2018,ABUR,Control,TDN,0.21
2018,ABUR,Experimental,TDN,1.15
2018,ABUR,Experimental,TDN,1.18
2018,ABUR,Experimental,TDN,0.75
2018,ABUR,Experimental,TDN,0.6
2019,ABUR,Control,NH4,0.02
2019,ABUR,Control,NH4,0.03
2019,ABUR,Control,NH4,0.02
2019,ABUR,Experimental,NH4,0.05
2019,ABUR,Experimental,NH4,0.15
2019,ABUR,Experimental,NH4,0.11
2019,ABUR,Experimental,NH4,0.2
2019,ABUR,Control,NO3,0.02
2019,ABUR,Control,NO3,0.04
2019,ABUR,Control,NO3,0.01
2019,ABUR,Experimental,NO3,-0.24
2019,ABUR,Experimental,NO3,0.15
2019,ABUR,Experimental,NO3,-0.24
2019,ABUR,Experimental,NO3,-0.16
2019,ABUR,Control,TDN,-0.01
2019,ABUR,Control,TDN,0.25
2019,ABUR,Control,TDN,0.54
2019,ABUR,Experimental,TDN,0.59
2019,ABUR,Experimental,TDN,0.84
2019,ABUR,Experimental,TDN,0.11
2019,ABUR,Experimental,TDN,0.28
2017,GOLB,Control,NH4,-0.04
2017,GOLB,Experimental,NH4,0.5
2017,GOLB,Experimental,NH4,0.57
2017,GOLB,Experimental,NH4,0.03
2017,GOLB,Experimental,NH4,-0.08
2017,GOLB,Control,NO3,-0.2
2017,GOLB,Experimental,NO3,-0.16
2017,GOLB,Experimental,NO3,-0.2
2017,GOLB,Experimental,NO3,-0.1
2017,GOLB,Experimental,NO3,0.04
2017,GOLB,Control,TDN,NA
2017,GOLB,Experimental,TDN,NA
2017,GOLB,Experimental,TDN,NA
2017,GOLB,Experimental,TDN,NA
2017,GOLB,Experimental,TDN,NA
2018,GOLB,Control,NH4,0
2018,GOLB,Control,NH4,-0.01
2018,GOLB,Control,NH4,-0
2018,GOLB,Control,NH4,-0
2018,GOLB,Experimental,NH4,-0.08
2018,GOLB,Experimental,NH4,0.01
2018,GOLB,Experimental,NH4,0.18
2018,GOLB,Experimental,NH4,-0.05
2018,GOLB,Control,NO3,0
2018,GOLB,Control,NO3,0
2018,GOLB,Control,NO3,0
2018,GOLB,Control,NO3,0
2018,GOLB,Experimental,NO3,0.16
2018,GOLB,Experimental,NO3,0.01
2018,GOLB,Experimental,NO3,0.03
2018,GOLB,Experimental,NO3,0.05
2018,GOLB,Control,TDN,0.23
2018,GOLB,Control,TDN,0.1
2018,GOLB,Control,TDN,0.01
2018,GOLB,Control,TDN,-0.08
2018,GOLB,Experimental,TDN,0.56
2018,GOLB,Experimental,TDN,0.44
2018,GOLB,Experimental,TDN,1.04
2018,GOLB,Experimental,TDN,0.51
2019,GOLB,Control,NH4,-0.01
2019,GOLB,Control,NH4,-0.01
2019,GOLB,Control,NH4,-0
2019,GOLB,Control,NH4,-0
2019,GOLB,Experimental,NH4,0.55
2019,GOLB,Experimental,NH4,0.04
2019,GOLB,Experimental,NH4,0.13
2019,GOLB,Control,NO3,0
2019,GOLB,Control,NO3,0
2019,GOLB,Control,NO3,0
2019,GOLB,Control,NO3,0
2019,GOLB,Experimental,NO3,0.48
2019,GOLB,Experimental,NO3,0
2019,GOLB,Experimental,NO3,0.03
2019,GOLB,Control,TDN,0.5
2019,GOLB,Control,TDN,-0.03
2019,GOLB,Control,TDN,0.03
2019,GOLB,Control,TDN,0.11
2019,GOLB,Experimental,TDN,1.67
2019,GOLB,Experimental,TDN,0.68
2019,GOLB,Experimental,TDN,0.4
2017,MICR,Control,NH4,0
2017,MICR,Experimental,NH4,0.21
2017,MICR,Experimental,NH4,0.41
2017,MICR,Experimental,NH4,NA
2017,MICR,Experimental,NH4,0.25
2017,MICR,Control,NO3,-0.02
2017,MICR,Experimental,NO3,-0
2017,MICR,Experimental,NO3,0.08
2017,MICR,Experimental,NO3,NA
2017,MICR,Experimental,NO3,-0.01
2017,MICR,Control,TDN,NA
2017,MICR,Experimental,TDN,NA
2017,MICR,Experimental,TDN,NA
2017,MICR,Experimental,TDN,NA
2017,MICR,Experimental,TDN,NA
2018,MICR,Control,NH4,0.13
2018,MICR,Control,NH4,0.11
2018,MICR,Control,NH4,0.13
2018,MICR,Control,NH4,0.12
2018,MICR,Experimental,NH4,NA
2018,MICR,Experimental,NH4,NA
2018,MICR,Experimental,NH4,-0.05
2018,MICR,Experimental,NH4,0.4
2018,MICR,Control,NO3,0.01
2018,MICR,Control,NO3,0.02
2018,MICR,Control,NO3,0.01
2018,MICR,Control,NO3,0.01
2018,MICR,Experimental,NO3,NA
2018,MICR,Experimental,NO3,NA
2018,MICR,Experimental,NO3,0.26
2018,MICR,Experimental,NO3,0.19
2018,MICR,Control,TDN,-0.03
2018,MICR,Control,TDN,-0.01
2018,MICR,Control,TDN,0.14
2018,MICR,Control,TDN,0.17
2018,MICR,Experimental,TDN,NA
2018,MICR,Experimental,TDN,NA
2018,MICR,Experimental,TDN,0.66
2018,MICR,Experimental,TDN,0.94
2019,MICR,Control,NH4,0.02
2019,MICR,Control,NH4,0.01
2019,MICR,Control,NH4,0.03
2019,MICR,Control,NH4,0.05
2019,MICR,Experimental,NH4,0.06
2019,MICR,Experimental,NH4,0.22
2019,MICR,Experimental,NH4,0.47
2019,MICR,Control,NO3,0
2019,MICR,Control,NO3,0
2019,MICR,Control,NO3,0
2019,MICR,Control,NO3,0
2019,MICR,Experimental,NO3,0.24
2019,MICR,Experimental,NO3,0.25
2019,MICR,Experimental,NO3,0
2019,MICR,Control,TDN,0.05
2019,MICR,Control,TDN,0.25
2019,MICR,Control,TDN,0.34
2019,MICR,Control,TDN,0.1
2019,MICR,Experimental,TDN,0.71
2019,MICR,Experimental,TDN,1.36
2019,MICR,Experimental,TDN,0.69
